palabra,color_tinta,tecla_correcta
XXXX,red,up
XXXX,blue,down
XXXX,green,left
XXXX,yellow,right
XXXX,red,up
XXXX,blue,down
XXXX,green,left
XXXX,yellow,right
XXXX,red,up
XXXX,blue,down
XXXX,green,left
XXXX,yellow,right
XXXX,red,up
XXXX,blue,down
XXXX,green,left
XXXX,yellow,right
XXXX,red,up
XXXX,blue,down
XXXX,green,left
XXXX,yellow,right
XXXX,red,up
XXXX,blue,down
XXXX,green,left
XXXX,yellow,right
XXXX,red,up
XXXX,blue,down
XXXX,green,left
XXXX,yellow,right
XXXX,red,up
XXXX,blue,down
XXXX,green,left
XXXX,yellow,right
XXXX,red,up
XXXX,blue,down
XXXX,green,left
XXXX,yellow,right
