palabra,color_tinta,tecla_correcta
azul,red,up
verde,yellow,right
amarillo,red,up
rojo,green,left
azul,red,up
amarillo,green,left
verde,yellow,right
verde,red,up
verde,yellow,right
amarillo,green,left
verde,red,up
rojo,yellow,right
amarillo,red,up
azul,yellow,right
amarillo,green,left
azul,yellow,right
verde,red,up
amarillo,blue,down
azul,yellow,right
azul,green,left
rojo,yellow,right
amarillo,blue,down
rojo,yellow,right
amarillo,blue,down
azul,green,left
rojo,blue,down
azul,green,left
verde,blue,down
azul,red,up
rojo,blue,down
rojo,green,left
rojo,blue,down
rojo,green,left
verde,blue,down
amarillo,red,up
verde,blue,down
